name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,srr_scope_nodes,srr_revisits,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
acvrptw,minimize,5.529571056365967,4.992493629455566,4.012589931488037,True,37.80553584540769,24.420728624121825,9.712822593934938,8,8,9,0,True,True,False,False,False,False,False
acvrpbl,minimize,4.4638671875,3.8259310722351074,2.1917500495910645,True,103.66679988591154,74.5605559789515,14.291108773381097,8,8,10,0,True,False,False,False,False,False,False
acvrpbp,minimize,4.4284348487854,3.9100542068481445,2.3657898902893066,True,87.18631214726588,65.2747872031017,11.70573034577744,9,8,15,1,True,False,False,True,False,False,False
aocvrpl,minimize,3.6137895584106445,3.1802475452423096,1.8884999752044678,True,91.35767041878727,68.40071945979159,11.996880453631285,9,8,8,0,True,False,False,False,True,False,False
aocvrpb,minimize,3.4707369804382324,2.879134178161621,1.6071399450302124,True,115.95735898238698,79.14645125116945,17.045451891370707,8,8,9,0,True,False,False,False,True,False,False
mdcvrpl,minimize,34.15428161621094,29.586753845214844,12.089630126953125,True,182.5089043879511,144.72836252659957,13.373221613386734,8,8,9,0,False,False,True,False,False,False,False
mdcvrpb,minimize,16.58195686340332,14.59991455078125,9.88378620147705,True,67.76927915463492,47.71580701127886,11.953006083356021,8,8,19,7,False,False,True,False,False,False,False
mdocvrp,minimize,11.104016304016113,9.39774227142334,7.77411413192749,True,42.83320408704904,20.88505663722861,15.366278163475375,8,8,9,1,False,False,True,False,True,False,False
amdcvrp,minimize,3.3750956058502197,2.904003381729126,1.9274300336837769,True,75.10859262681561,50.66712311102081,13.957892727676406,8,8,12,1,True,False,True,False,False,False,False
apdcvrp,minimize,4.803036212921143,3.889211893081665,3.0491409301757812,True,57.5209648523609,27.551070355329692,19.02597189213574,10,8,9,0,True,False,False,False,False,True,False
opdcvrp,minimize,38.646854400634766,26.999473571777344,22.051122665405273,True,75.26025766146398,22.440358168862083,30.137978910558154,9,8,9,0,False,False,False,False,True,True,False
aspctsp,minimize,4.371354103088379,3.416984796524048,,False,,,21.83234952048532,8,8,9,0,True,False,False,False,False,False,True
cvrpbltw,minimize,48.085533142089844,38.817115783691406,18.491065429363715,True,160.0473905940015,109.92363004702817,19.274856183898024,8,8,9,0,False,True,False,False,False,False,False
cvrpbptw,minimize,47.43738555908203,42.23646926879883,28.957300186157227,True,63.818399001710254,45.85775951927171,10.96374985464913,9,8,9,0,False,True,False,True,False,False,False
ocvrpltw,minimize,20.48570442199707,18.796167373657227,14.80633789869914,True,38.35767197908479,26.94676767648689,8.247395420416485,9,8,9,0,False,True,False,False,True,False,False
ocvrpbtw,minimize,19.30362892150879,15.990185737609863,11.315462161252785,True,70.59514358688463,41.312705656553746,17.164871938700447,8,8,13,4,False,True,False,False,True,False,False
ocvrpbpl,minimize,14.61569881439209,12.473468780517578,10.130979537963867,True,44.267380657740084,23.122041000830077,14.657048294981667,8,8,12,1,False,False,False,True,True,False,False
acvrpltw,minimize,6.2747087478637695,5.8489251136779785,3.934109926223755,True,59.49500307650762,48.67213228310076,6.785711517379184,9,8,11,0,True,True,False,False,False,False,False
acvrpbtw,minimize,5.564085960388184,5.0120344161987305,3.8774900436401367,True,43.4971050284037,29.259762366623598,9.921693304517868,9,8,9,0,True,True,False,False,False,False,False
acvrpbpl,minimize,4.608817100524902,3.8863394260406494,2.39411997795105,True,92.50568655582784,62.328515773327275,15.675989277204541,8,8,8,0,True,False,False,True,False,False,False
aocvrptw,minimize,3.520071506500244,2.9219167232513428,2.197279930114746,True,60.20132247402903,32.97881090183875,16.99268841966236,8,8,8,0,True,True,False,False,True,False,False
aocvrpbl,minimize,3.7070980072021484,3.1404566764831543,1.85030996799469,True,100.35010735092074,69.725977312152,15.28530752675337,10,8,8,0,True,False,False,False,True,False,False
aocvrpbp,minimize,3.5605762004852295,3.0061566829681396,1.684209942817688,True,111.40928514697967,78.4906148896634,15.571061713032133,9,8,10,1,True,False,False,True,True,False,False
mdcvrptw,minimize,26.87939453125,22.07077980041504,16.06063461303711,True,67.36197030116628,37.421592186022565,17.889594667932208,8,8,12,1,False,True,True,False,False,False,False
mdcvrpbl,minimize,52.50718307495117,38.23832702636719,11.144113540649414,True,371.1651840536736,243.12578462960352,27.175055321889886,10,8,8,0,False,False,True,False,False,False,False
mdcvrpbp,minimize,18.81113052368164,15.637943267822266,11.54989242553711,True,62.86844786614416,35.39470924635082,16.86866853570867,8,8,10,0,False,False,True,True,False,False,False
mdocvrpl,minimize,12.464228630065918,10.338582038879395,7.678080081939697,True,62.335225695081654,34.65061484833563,17.053976256975012,8,8,12,1,False,False,True,False,True,False,False
mdocvrpb,minimize,12.465832710266113,10.688121795654297,7.40138578414917,True,68.4256580296487,44.40703548440902,14.26066718469437,9,8,8,0,False,False,True,False,True,False,False
amdcvrpl,minimize,4.4819207191467285,4.002976894378662,2.0546700954437256,True,118.13335041403886,94.82333943806104,10.686128889384909,10,8,10,0,True,False,True,False,False,False,False
amdcvrpb,minimize,2.649064540863037,2.4992542266845703,2.0909199714660645,True,26.69373180292622,19.528927973852543,5.655215713606592,8,8,12,0,True,False,True,False,False,False,False
amdocvrp,minimize,3.5000815391540527,2.959784746170044,1.6141999959945679,True,116.83072406387438,83.35923389384051,15.4366916010361,8,8,8,0,True,False,True,False,True,False,False
aopdcvrp,minimize,4.777169227600098,3.9227824211120605,2.8953630924224854,True,64.99378748394376,35.48499085929691,17.884792557730986,9,8,8,0,True,False,False,False,True,True,False
cvrpbpltw,minimize,52.44989776611328,42.20446014404297,24.263469696044922,True,116.16816730322334,73.9423943597091,19.53376090027322,8,8,8,0,False,True,False,True,False,False,False
ocvrpbltw,minimize,19.465042114257812,17.0471134185791,12.158860347542328,True,60.089363294581176,40.20321749994305,12.421903232912191,9,8,13,1,False,True,False,False,True,False,False
ocvrpbptw,minimize,23.452228546142578,19.0902156829834,15.587929725646973,True,50.45120781854949,22.467935248476778,18.599566580962062,9,8,11,0,False,True,False,True,True,False,False
acvrpbltw,minimize,6.713021278381348,6.146854877471924,4.355629920959473,True,54.12285708843191,41.12436063250007,8.433853810842361,9,8,8,0,True,True,False,False,False,False,False
acvrpbptw,minimize,5.624093055725098,5.114349842071533,4.041339874267578,True,39.16407010297212,26.550847025664215,9.063562935443727,8,8,10,0,True,True,False,True,False,False,False
aocvrpltw,minimize,4.047970294952393,3.6091368198394775,2.6610701084136963,True,52.11813781807682,35.62727296917923,10.840827455184577,9,8,9,0,True,True,False,False,True,False,False
aocvrpbtw,minimize,4.809196472167969,4.1824541091918945,3.206279993057251,True,49.993028761730365,30.44569152564378,13.032163826185727,8,8,11,0,True,True,False,False,True,False,False
aocvrpbpl,minimize,3.571753740310669,3.156541585922241,2.011620044708252,True,77.55608220878936,56.91539732991867,11.624881908916622,8,8,8,0,True,False,False,True,True,False,False
mdcvrpltw,minimize,39.349571228027344,33.530921936035156,15.039703369140625,True,161.63794765239305,122.9493568658803,14.787071651362146,9,8,8,0,False,True,True,False,False,False,False
mdcvrpbtw,minimize,31.160255432128906,26.648569107055664,16.96717071533203,True,83.65027354838594,57.059592044861304,14.478977346319521,8,8,12,0,False,True,True,False,False,False,False
mdcvrpbpl,minimize,46.03827667236328,32.766021728515625,11.554325103759766,True,298.4505910897597,183.58230735478955,28.828739699144677,9,8,8,0,False,False,True,True,False,False,False
